,by,descendants,id,kids,score,time,title,type,url,text
10,lele0108,97.0,40309342,"[40310308, 40310255, 40311488, 40314078, 40317543, 40317004, 40312969, 40310932, 40312404, 40317242, 40312596, 40315757, 40310068, 40309998, 40310352, 40310462, 40311155, 40317585, 40310533, 40310387, 40312621, 40309596, 40311905, 40311330, 40310280, 40310114, 40310891, 40312858, 40313207, 40310110, 40312139, 40311638, 40312764, 40309767, 40312797, 40310253, 40311900, 40310118, 40314858, 40310373, 40310040, 40310534]",221,1715269128,Launch HN: Muddy (YC S19) – Multiplayer browser for getting work done,story,,"Hey HN! This is Jimmy, Ron and Austa from Muddy (<a href=""https:&#x2F;&#x2F;feelmuddy.com&#x2F;"">https:&#x2F;&#x2F;feelmuddy.com&#x2F;</a>). Muddy is a browser for work that automatically keeps project files organized in the same place where you use and share them. Here’s a demo: <a href=""https:&#x2F;&#x2F;www.youtube.com&#x2F;watch?v=tZr49aN3sjQ"" rel=""nofollow"">https:&#x2F;&#x2F;www.youtube.com&#x2F;watch?v=tZr49aN3sjQ</a>. Download and try it out here: <a href=""https:&#x2F;&#x2F;feelmuddy.com&#x2F;"">https:&#x2F;&#x2F;feelmuddy.com&#x2F;</a>.<p>Building together in the past, we were incredibly frustrated with how much friction there is to get anything done on our computers. I was losing time everyday digging through chat logs looking for that one important link or breaking others out of flow by asking where something is.<p>Web apps promised to help us get more done—and they do, but each in its own silo, so there’s still a ton of redundancy to deal with. Every app has its own way of organizing files, its own notification inbox, its own search system. Conversations live everywhere and there isn’t a single view to see everything about a project. Remember when files simply lived in folders rather than the “cloud”?<p>We started dedicating time to organizing our files in shared docs and limiting new apps we used. This helped – but the second we didn’t stay on top of organization, links became stale and things got messy again.<p>Muddy started as a hack week project we built for ourselves—a single place to use web apps with others, but personalized for each user automatically. Everyone gets their own view for every project, designed around how they work.<p>Muddy users work on projects in spaces, which are like automatic tab groups. Users share apps (any site works—a Github PR, Figma file, Trello board—whatever you want) into the project’s shared timeline and Muddy automatically opens relevant tabs for you. It’s a single click to open up all the apps you need for the project.<p>Under the hood, Muddy works in the background to keep track of the timeline and uses a LLM to continuously organize apps and keep everything on to date. It considers signals like the popularity of a file, naming conventions, and conversations to figure out what’s relevant. So everyone is presented with an updated list of important tabs, without anyone lifting a finger. Our actual browser is based on Chromium.<p>When you need to revisit something from weeks ago, you can rewind the project timeline to that point in a single click. Apps open up in the timeline so you’ll see your files right away. For sites that don’t have built in collaboration features (like documentation), Muddy lets you do annotations directly on the website.<p>Projects sometimes get big and need to be broken up. Across all your spaces, Muddy can answer questions like ChatGPT, cite your files as sources, and return apps directly. This is possible since Muddy’s AI shares your browser and can use your authenticated apps locally (with privacy in mind).<p>Other browsers like Chrome and Arc focus on solo productivity with sharing as a bolt-on. We think productivity depends on how well you can work with others, and should be the first class consideration. And doing organizational work manually is unsustainable.<p>Muddy will have paid subscriptions for teams with additional features like shared passwords, team organization, custom shortcuts, and SSO management. Those aren’t built out yet and the base product will be free. No part of our revenue will come from data monetization.<p>We’d love for you to give Muddy a spin! You can download Muddy for Mac or Windows on our website and add others once inside: <a href=""https:&#x2F;&#x2F;feelmuddy.com&#x2F;"">https:&#x2F;&#x2F;feelmuddy.com&#x2F;</a>. We’ll be around to answer questions and look forward to any and all feedback!"
11,simonpure,87.0,40313143,"[40315777, 40314584, 40314306, 40313446, 40317173, 40317339, 40314943, 40315726, 40316725, 40313735, 40315572, 40313622, 40316288, 40313223, 40313713, 40316280, 40314557, 40315015, 40316528, 40313752, 40313258, 40315125, 40313671, 40314850, 40314791, 40313674, 40315975]",255,1715290123,Sioyek is a PDF viewer with a focus on textbooks and research papers,story,https://github.com/ahrm/sioyek,
12,rbanffy,5.0,40299681,[40301186],19,1715184402,Computer models suggest modern plate tectonics due to blobs left by collision,story,https://phys.org/news/2024-05-modern-plate-tectonics-due-blobs.html,
13,archermarks,3.0,40315400,"[40316210, 40316052, 40315902, 40316087]",69,1715313522,Object oriented design patterns in the Linux kernel (2011),story,https://lwn.net/Articles/444910/,
14,louiskw,,40316121,,1,1715324438,"Bloop (YC S21) Is Hiring AI Engineers. Devin for Legacy Code (London, Onsite)",job,https://www.ycombinator.com/companies/bloop/jobs/iCrEllp-ai-engineer,
15,gone35,5.0,40314236,"[40317417, 40316286, 40315181, 40317101]",90,1715299751,CS388: Natural Language Processing,story,https://www.cs.utexas.edu/~gdurrett/courses/online-course/materials.html,
16,benbreen,42.0,40290228,"[40316748, 40315785, 40316148, 40314384, 40314843]",89,1715109135,Medieval Icelanders were likely hunting blue whales long industrial technology,story,https://hakaimagazine.com/features/how-viking-age-hunters-took-down-the-biggest-animal-on-earth/,
17,hunterbrooks,53.0,40309719,"[40314868, 40311594, 40311856, 40311602, 40309895, 40311104, 40314297, 40312458, 40312503, 40311838, 40310359, 40314318, 40311348, 40310457]",104,1715271287,Show HN: Ellipsis – Automated PR reviews and bug fixes,story,https://www.ellipsis.dev/,"Hi HN, hunterbrooks and nbrad here from Ellipsis (<a href=""https:&#x2F;&#x2F;www.ellipsis.dev"">https:&#x2F;&#x2F;www.ellipsis.dev</a>). Ellipsis automatically reviews your PRs when opened and on each new commit. If you tag @ellipsis-dev in a comment, it can make changes to the PR (via direct commit or side PR) and answer questions, just like a human.<p>Demo video: <a href=""https:&#x2F;&#x2F;www.youtube.com&#x2F;watch?v=X61NGZpaNQA"" rel=""nofollow"">https:&#x2F;&#x2F;www.youtube.com&#x2F;watch?v=X61NGZpaNQA</a><p>So far, we have dozens of open source projects and companies using Ellipsis. We seem to have landed in a kind of sweet spot where there’s a good match between the current capabilities of AI tools and the actual needs of software engineers - this doesn’t replace human review, but it saves you time by catching&#x2F;fixing lots of small silly stuff.<p>Here’s an example in the wild: <a href=""https:&#x2F;&#x2F;github.com&#x2F;relari-ai&#x2F;continuous-eval&#x2F;pull&#x2F;38"">https:&#x2F;&#x2F;github.com&#x2F;relari-ai&#x2F;continuous-eval&#x2F;pull&#x2F;38</a>. Ellipsis (1) adds a PR summary; (2) finds a bug and adds a review comment; (3) after a (human) user comments, generates a side PR with the fix; and (4) after a (human) user merges the side PR and adds another commit, re-reviews the PR and approves it<p>Here’s another example: <a href=""https:&#x2F;&#x2F;github.com&#x2F;SciPhi-AI&#x2F;R2R&#x2F;pull&#x2F;350#pullrequestreview-204013694"">https:&#x2F;&#x2F;github.com&#x2F;SciPhi-AI&#x2F;R2R&#x2F;pull&#x2F;350#pullrequestreview-...</a>, where Ellipsis adds several comments with inline suggestions that were directly merged by the developer.<p>You can configure Ellipsis in natural language to enforce custom rules, style guides, or conventions. For example, here’s how the `jxnl&#x2F;instructor` repo uses natural language rules to make sure that docs are kept in sync: <a href=""https:&#x2F;&#x2F;github.com&#x2F;jxnl&#x2F;instructor&#x2F;blob&#x2F;main&#x2F;ellipsis.yaml#L13-L14"">https:&#x2F;&#x2F;github.com&#x2F;jxnl&#x2F;instructor&#x2F;blob&#x2F;main&#x2F;ellipsis.yaml#L...</a>, and here’s an example PR that Ellipsis came up with based on those rules: <a href=""https:&#x2F;&#x2F;github.com&#x2F;jxnl&#x2F;instructor&#x2F;pull&#x2F;346"">https:&#x2F;&#x2F;github.com&#x2F;jxnl&#x2F;instructor&#x2F;pull&#x2F;346</a>.<p>Installing into your repo takes 2 clicks at <a href=""https:&#x2F;&#x2F;www.ellipsis.dev"">https:&#x2F;&#x2F;www.ellipsis.dev</a>. You do have to sign up to try it out because we need you to authorize our GitHub app to read your code. Don’t worry, your code is never stored or used to train models (<a href=""https:&#x2F;&#x2F;docs.ellipsis.dev&#x2F;security"">https:&#x2F;&#x2F;docs.ellipsis.dev&#x2F;security</a>).<p>We’d really appreciate your feedback, thoughts, and ideas!"
18,gsky,49.0,40316030,"[40317530, 40317502, 40316512, 40317689, 40317006, 40317685, 40317346, 40317197, 40317023, 40316939, 40317299, 40317170, 40317657, 40316663, 40317264, 40317243]",66,1715323282,I Accidentally Uncovered a Nationwide Scam Run by Fake Hosts on Airbnb (2019),story,https://www.vice.com/en/article/43k7z3/nationwide-fake-host-scam-on-airbnb,
19,fzliu,6.0,40294808,"[40317117, 40317551, 40317562, 40316978, 40316410]",21,1715148198,"Radient – vectorize many data types, not just text",story,https://github.com/fzliu/radient,
20,happy-dude,23.0,40313798,"[40316470, 40316235, 40314947, 40314800, 40314642, 40317029, 40315838, 40314370]",109,1715295734,"Wprs – rootless remote desktop for Wayland (and X11, via XWayland) applications",story,https://github.com/wayland-transpositor/wprs,
21,matt_d,2.0,40300523,[40317156],16,1715188456,HiFi-DRAM: Enabling High-Fidelity DRAM Research by Uncovering Sense Amplifiers,story,https://comsec.ethz.ch/research/dram/hifi-dram/,
22,wilsonzlin,139.0,40307519,"[40309080, 40315346, 40315139, 40308422, 40308750, 40309717, 40308268, 40315204, 40308530, 40310051, 40311846, 40315982, 40315179, 40315821, 40314458, 40308196, 40312573, 40308147, 40309006, 40311162, 40317445, 40312632, 40308443, 40316775, 40310886, 40314277, 40308186, 40308506, 40308808, 40313331, 40309384, 40313681, 40311328, 40308683, 40309517, 40310345, 40308334, 40309482, 40312674, 40312460, 40310994, 40313861, 40308829, 40312419, 40309563, 40315501]",443,1715257864,Show HN: Exploring HN by mapping and analyzing 40M posts and comments for fun,story,https://blog.wilsonl.in/hackerverse/,
23,peteforde,31.0,40309759,"[40317684, 40312464, 40316577, 40311640, 40310304, 40315470, 40310937, 40310687, 40310821, 40311687, 40310720, 40310624, 40313513]",211,1715271434,ESP32 Drum Synth Machine,story,https://github.com/zircothc/DRUM_2004_V1,
24,sklargh,24.0,40314285,"[40314814, 40316839, 40315449, 40315173, 40317459, 40315955, 40315123]",68,1715300199,"Weapons in Space Technology, Politics, and the Rise and Fall of SDI",story,https://direct.mit.edu/books/oa-monograph/5770/Weapons-in-SpaceTechnology-Politics-and-the-Rise,
25,zdw,1.0,40265332,[40308620],5,1714920884,"With PowerPC, Windows CE and the WiiN-Pad Slate, Everyone's a WiiN-Er",story,http://oldvcr.blogspot.com/2024/05/with-powerpc-windows-ce-and-wiin-pad.html,
26,davedx,107.0,40272439,"[40315664, 40314736, 40316677, 40315097, 40315444, 40314939, 40314886, 40317358, 40317469, 40315257, 40315504, 40315020, 40314861, 40317605, 40316298, 40315250, 40315079, 40315042, 40315076, 40314762, 40314879, 40314859, 40315328, 40273034, 40314802]",77,1714983964,Grace Version Control System,story,https://github.com/ScottArbeit/Grace,
27,PaulHoule,18.0,40315022,"[40317040, 40316496, 40316098, 40315961, 40315825, 40316320, 40315893, 40316593, 40316056]",46,1715309171,Energy-Efficient Llama 2 Inference on FPGAs via High Level Synthesis,story,https://arxiv.org/abs/2405.00738,
28,bondant,200.0,40307098,"[40314385, 40307802, 40307412, 40314438, 40307747, 40311204, 40312855, 40309926, 40311460, 40312278, 40310894, 40308526, 40308293, 40307717]",360,1715254287,Algebraic Data Types for C99,story,https://github.com/Hirrolot/datatype99,
29,tintinnabula,0.0,40278459,,17,1715023152,The poetic science of how cicadas sing,story,https://www.themarginalian.org/2024/05/05/cicadas/,
30,chuckhend,98.0,40307454,"[40308926, 40317135, 40316776, 40308958, 40315765, 40311898, 40315376, 40308817, 40316790, 40314507, 40308921, 40310321, 40310942, 40309216, 40312700, 40310499, 40313329, 40309273, 40313800, 40311554, 40309579, 40312217, 40309029]",228,1715257313,Show HN: An SQS Alternative on Postgres,story,https://github.com/tembo-io/pgmq,
31,brian_herman,8.0,40314188,"[40315883, 40316781, 40316248, 40316960]",45,1715299276,Chips and Cheese State of the Union,story,https://chipsandcheese.com/2024/05/09/chips-and-cheese-state-of-the-union/,
32,vouaobrasil,7.0,40317238,"[40317773, 40317457]",9,1715336909,Apple's new ad: a perfect reflection of society,story,https://medium.com/@jpolak/apples-new-ad-a-perfect-reflection-of-society-63f4257369b8,
33,rtfeldman,2.0,40274113,[40316751],16,1715000356,Weaver: An ergonomic CLI parsing library for Roc lang,story,https://sammohr.dev/blog/announcing-weaver,
34,Thevet,1.0,40262642,[40317329],12,1714889131,Searching for Lost Cities,story,https://www.archaeology.org/issues/550-2405/features/12281-lost-cities-ancient-world,
35,wglb,13.0,40261378,"[40315648, 40315098, 40315457]",37,1714868024,"In medieval England, leprosy spread btwn red squirrels/people, genome evidence",story,https://phys.org/news/2024-05-medieval-england-leprosy-red-squirrels.html,
36,mschuster91,0.0,40317265,,4,1715337132,Ferries make ReachNow cars think they're being stolen,story,https://www.seattletimes.com/seattle-news/transportation/ferries-make-reachnow-cars-think-theyre-being-stolen/,
37,Petiver,9.0,40312500,"[40315013, 40314581, 40313639, 40313384, 40315021]",44,1715285679,Being Green: A new book marvels at the strangeness of plants,story,https://slate.com/culture/2024/05/light-eaters-zoe-schlanger-book-plant-intelligence.html,
38,belter,292.0,40307138,"[40310239, 40313256, 40310976, 40312242, 40312075, 40317812, 40309762, 40310913, 40310103, 40309970, 40310291, 40313057, 40310245, 40311323, 40314833, 40315043, 40315475, 40314136, 40314266, 40309658, 40314368, 40309620, 40309809, 40313734, 40310652, 40314596, 40314084, 40312225, 40314513, 40309666]",632,1715254694,Deaf girl is cured in world first gene therapy trial,story,https://www.independent.co.uk/news/health/deaf-cure-girl-gene-therapy-b2541735.html,
39,luu,8.0,40292853,"[40317352, 40315985, 40315774, 40315591]",20,1715125790,RTK Experiments,story,https://n1vux.github.io/articles/Geodetic/RTK-experiments.html,
40,lucasfcosta,31.0,40296734,"[40311757, 40313478, 40312146, 40311791, 40313356, 40312802, 40311502, 40314219, 40311624]",75,1715167549,Logarithmic Scales,story,https://briefer.cloud/blog/posts/logarithms/,
41,hasheddan,17.0,40306463,"[40308562, 40307523, 40311459, 40308247]",84,1715245686,Xilinx HBM2 Internals (2023),story,https://lovehindpa.ws/posts/xilinx-hbm2/,
42,retskrad,0.0,40317246,,6,1715336939,OpenAI could unveil its Google search competitor on Monday,story,https://www.theverge.com/2024/5/10/24153421/openai-chatgpt-google-search-competitor-service-io,
43,FredrikMeyer,2.0,40296619,[40296697],8,1715166470,Estimating Pi with Kafka streams,story,https://fredrikmeyer.net/2024/05/06/estimating-pi-kafka.html,
44,Thevet,1.0,40313792,[40316754],16,1715295655,A Record of Old Kashgar,story,https://chinabooksreview.com/2024/05/09/a-record-of-old-kashgar/,
45,enz,126.0,40306352,"[40308386, 40306768, 40306678, 40306642, 40306633, 40309133, 40310031, 40306984, 40306956]",137,1715244027,"UTC, Tai, and Unix Time (2001)",story,https://cr.yp.to/proto/utctai.html,
46,afc,25.0,40307089,"[40312736, 40307890, 40307296, 40313787, 40309686, 40312285, 40310329, 40307744, 40307094, 40307287]",127,1715254172,Show HN: Browser-based knitting (pattern) software,story,https://github.com/alefore/knit,"I wrote some simple open source web-based app to (1) dynamically compute knitting patterns (based on input parameters, such as the exact desired size), and (2) display these patterns and help me keep track of which row I&#x27;m on (as I start knitting), similar to minimalist &quot;row counters&quot; that other knitters use. It also gives you a simple visualization of the shape of what you&#x27;re knitting.  You can see it in action at <a href=""https:&#x2F;&#x2F;alefore.github.io&#x2F;knit&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;alefore.github.io&#x2F;knit&#x2F;</a> (and read about it in <a href=""https:&#x2F;&#x2F;github.com&#x2F;alefore&#x2F;knit"">https:&#x2F;&#x2F;github.com&#x2F;alefore&#x2F;knit</a>).<p>Right now I only implemented on simple pattern: Sophie scarfs. After knitting one that came out somewhat … asymmetric, I decided to just write some software to help me (1) easily adjust the length&#x2F;width of the scarf (using Bézier curves), and (2) keep track of which row I&#x27;m on (so that I can make sure I apply increases&#x2F;decreases at the right places). In the future, I expect to extend this with many other knitting patterns for other types of items.<p>The application is 100% browser (JavaScript, tested in only in Chrome in Linux&#x2F;Android) based (no server-side component): all state is kept in the URL hash. I&#x27;ve used it to knit two scarves, including <a href=""https:&#x2F;&#x2F;github.com&#x2F;alefore&#x2F;knit&#x2F;blob&#x2F;main&#x2F;images&#x2F;000.jpg"">https:&#x2F;&#x2F;github.com&#x2F;alefore&#x2F;knit&#x2F;blob&#x2F;main&#x2F;images&#x2F;000.jpg</a>.<p>The current state of knitting patterns is far from optional, stuck in pre-computer times. Perhaps knitters are not the most technically minded group. Most knitters just download patterns as PDF files. These files will show multiple numbers from which you should choose one depending on the size you&#x27;re knitting, saying things like &quot;Purl 24 (32 38 42 50 64) times&quot; (you&#x27;re supposed to pick the right number depending on the size you&#x27;re knitting). They&#x27;ll say things like &quot;repeat rows 4 to 6 sixteen times&quot;.<p>I think software can display patterns much better (including not being limited to a few pre-selected sizes, but letting you choose the _exact_ size you want, and adjusting everything accordingly), and keep track of your progress much more easily. For example, for my scarf, the user inputs the desired number of rows (based on the desired length, which makes the pattern agnostic to the needle size), and the software computes where to apply increases&#x2F;decreases.<p>I have many other ideas for improvements (e.g., track how much time I&#x27;ve spent in each row, show a clock), but I figured I&#x27;d share this early and ask for feedback. Hopefully there are other fellow knitters in HN. :-) Check it out and let me know what you think!"
47,belter,155.0,40312469,"[40313316, 40312898, 40312981, 40313481, 40312956, 40315417, 40313414, 40312916, 40313407, 40314661, 40312912, 40315011, 40312884, 40313295]",100,1715285481,How bad are satellite megaconstellations for astronomy?,story,https://www.leonarddavid.com/blinded-by-the-light-megaconstellation-clash-with-astronomical-peer-groups/,
48,yladiz,2.0,40316573,"[40317796, 40317087]",7,1715329454,Has Generative AI Already Peaked? [video],story,https://www.youtube.com/watch?v=dDUC-LqVrPU,
49,weinzierl,106.0,40297423,"[40305788, 40308409, 40306948, 40314630, 40306239, 40306024, 40309981, 40305785, 40305875, 40309856, 40305966, 40307139, 40305953, 40306210, 40306334, 40307812, 40310570, 40305848, 40305874, 40311113, 40307268, 40305960, 40305789, 40308049]",144,1715172088,Symbolica Computer Algebra System,story,https://symbolica.io/,
50,commspam,20.0,40261023,"[40313762, 40313961, 40261039, 40263117, 40312808, 40262749, 40262465]",59,1714863984,Hymn for Walpurgisnacht,story,https://themillions.com/2024/04/hymn-for-walpurgisnacht.html,
51,andsoitis,81.0,40315551,"[40315786, 40316137, 40316240, 40315830, 40315899, 40317608, 40315731, 40315734, 40316111, 40315784, 40316077, 40315892, 40316088]",35,1715316181,Polestar eliminates the rear window in latest electric car,story,https://www.dezeen.com/2024/02/06/polestar-4-eliminiates-rear-window/,
52,kmdupree,21.0,40308044,"[40308473, 40313538, 40308606, 40313601, 40308582]",102,1715261524,VideoPrism: A foundational visual encoder for video understanding,story,https://research.google/blog/videoprism-a-foundational-visual-encoder-for-video-understanding/,
53,robertn702,148.0,40313451,"[40317848, 40313980, 40315512, 40314286, 40314088, 40314964, 40314950, 40315692, 40314343, 40315005, 40314985]",154,1715292701,The world has probably passed peak pollution,story,https://www.sustainabilitybynumbers.com/p/peak-pollution,
54,blazercohen,0.0,40317494,,5,1715339018,Fairgen 'boosts' survey results using synthetic data and AI-generated responses,story,https://techcrunch.com/2024/05/09/fairgen-boosts-survey-results-using-synthetic-data-and-ai-generated-responses/,
55,conductor,11.0,40311110,"[40313327, 40313339, 40312866, 40316337]",54,1715278306,DNSecure – a configuration tool of DoT and DoH for iOS and iPadOS,story,https://github.com/kkebo/DNSecure,
56,zerojames,101.0,40307832,"[40310719, 40308972, 40309012, 40309552, 40309243, 40309327, 40309787, 40309632, 40308141, 40309917, 40310599, 40308371, 40309449, 40308274, 40311612]",172,1715260085,"No ""Zero-Shot"" Without Exponential Data",story,https://arxiv.org/abs/2404.04125,
57,1vuio0pswjnm7,4.0,40316972,"[40317254, 40317163]",7,1715333730,Technology crushing human creativity? Apple's iPad ad has struck a nerve online,story,https://finance.yahoo.com/news/technology-crushing-human-creativity-apples-174552294.html,
58,rendx,112.0,40302200,"[40308154, 40304622, 40307186, 40305339, 40303681, 40307757, 40304237, 40308885, 40304545, 40303457, 40306835, 40304769, 40304484, 40303403, 40306384, 40305238, 40307164, 40306868, 40304939, 40308394, 40303980, 40306030]",227,1715198098,Breathwork supports emergence of altered states of consciousness,story,https://www.researchsquare.com/article/rs-3976380/v1,
59,chromakode,82.0,40300454,"[40302782, 40302814, 40305589, 40300709, 40307004, 40306205, 40302622, 40302182, 40303150, 40304185, 40302269, 40307152, 40306583, 40303083, 40305703, 40302727, 40302946, 40304462, 40301207, 40305394, 40303193, 40302546, 40302696, 40301921, 40302333, 40306848, 40302730, 40302619, 40302888]",718,1715188157,"Development Notes from xkcd's ""Machine""",story,https://chromakode.com/post/xkcd-machine/,
60,siganakis,7.0,40316035,"[40317533, 40316464, 40316798, 40316360, 40316603]",14,1715323384,UniSuper's Google Cloud environment was deleted,story,https://www.itnews.com.au/news/unisupers-google-cloud-environment-was-deleted-607786,
61,Brajeshwar,11.0,40308884,"[40309372, 40309557, 40315161, 40309987, 40314205]",39,1715266603,A Brief History of the First Planetarium,story,https://spectrum.ieee.org/planetarium-history,
62,goles,86.0,40312434,"[40313576, 40313524, 40315455, 40313509, 40316654, 40314204, 40314666, 40314756, 40313520, 40315858, 40314027, 40313852, 40313831, 40314880, 40314203, 40314051, 40313489, 40313655, 40313582]",101,1715285250,The history of 'OK' (2023),story,https://people.howstuffworks.com/history-ok.htm,
63,geerlingguy,11.0,40315394,"[40317369, 40316267, 40315684, 40315843, 40315685, 40315661]",51,1715313398,NOAA Forecasts Solar Storm (G4),story,https://www.swpc.noaa.gov/news/media-advisory-noaa-forecasts-severe-solar-storm-media-availability-scheduled-friday-may-10,
64,todsacerdoti,2.0,40313769,"[40314915, 40314988]",15,1715295415,C2PA from the Attacker's Perspective,story,https://www.hackerfactor.com/blog/index.php?/archives/1031-C2PA-from-the-Attackers-Perspective.html,
65,peutetre,1.0,40317388,[40317867],8,1715338268,What Trump promised oil CEOs as he asked them to steer $1B to his campaign,story,https://www.washingtonpost.com/politics/2024/05/09/trump-oil-industry-campaign-money/,
66,setnone,127.0,40300126,"[40317778, 40306609, 40306357, 40301520, 40300625, 40303776, 40308053, 40311295, 40300582, 40302701, 40306573, 40300451, 40300555, 40309145, 40300399, 40302705, 40307956, 40301275, 40302510, 40305086, 40301850, 40302310, 40303525, 40300689, 40301780, 40301265, 40302275, 40301375, 40300431, 40302656, 40300473, 40301032, 40303005, 40304046, 40304078, 40306152, 40306294, 40303900, 40300405, 40302303, 40309139, 40301849, 40301628, 40302007, 40301989, 40302443, 40301286, 40301444, 40306017, 40300944, 40304186, 40301747, 40306913, 40305625, 40302123, 40301465, 40301400, 40309118, 40300619]",431,1715186472,Show HN: I built a non-linear UI for ChatGPT,story,https://www.grafychat.com,"Hi HN,<p>I built this out of frustration of the evergrowing list of AI models and features to try and to fit my workflow.<p>The visual approach clicks for me so i went with it, it provides more freedom and control of the outcome, because predictable results and increased productivity is what I’m after when using conversational AI.<p>The app is packed with features, my most used are prompt library, voice input and text search, narration is useful too.<p>The app is local-first and works right in the browser, no sign up needed and it&#x27;s absolutely free to try.<p>BYOAK – bring your own API Keys.<p>Let me know what you think, any feedback is appreciated!"
